Frequency (eV),Frequency (meV),vDOS Total,Frequency (eV),Frequency (meV),vDOS Crystalline,Frequency (eV),Frequency (meV),vDOS Amorphous
0.070431,70.431,13.583,0.070431,70.431,1.0018,0.070431,70.431,22.448
0.070667,70.667,15.311,0.070667,70.667,1.1028,0.070667,70.667,25.322
0.070903,70.903,11.239,0.070903,70.903,1.1628,0.070903,70.903,18.338
0.07114,71.14,9.2327,0.07114,71.14,1.2596,0.07114,71.14,14.85
0.071376,71.376,15.981,0.071376,71.376,1.1056,0.071376,71.376,26.461
0.071612,71.612,16.684,0.071612,71.612,1.677,0.071612,71.612,27.258
0.071849,71.849,12.615,0.071849,71.849,1.471,0.071849,71.849,20.467
0.072085,72.085,13.328,0.072085,72.085,1.6222,0.072085,72.085,21.575
0.072321,72.321,15.073,0.072321,72.321,2.1734,0.072321,72.321,24.161
0.072558,72.558,14.86,0.072558,72.558,1.2641,0.072558,72.558,24.439
0.072794,72.794,15.26,0.072794,72.794,2.0229,0.072794,72.794,24.587
0.07303,73.03,18.573,0.07303,73.03,2.419,0.07303,73.03,29.954
0.073267,73.267,13.821,0.073267,73.267,1.7294,0.073267,73.267,22.341
0.073503,73.503,12.876,0.073503,73.503,1.8157,0.073503,73.503,20.669
0.073739,73.739,13.887,0.073739,73.739,2.7007,0.073739,73.739,21.769
0.073976,73.976,15.255,0.073976,73.976,2.2918,0.073976,73.976,24.388
0.074212,74.212,21.781,0.074212,74.212,2.4097,0.074212,74.212,35.429
0.074448,74.448,15.381,0.074448,74.448,2.7093,0.074448,74.448,24.309
0.074685,74.685,13.288,0.074685,74.685,3.3782,0.074685,74.685,20.27
0.074921,74.921,16.647,0.074921,74.921,4.3612,0.074921,74.921,25.303
0.075157,75.157,18.066,0.075157,75.157,3.9061,0.075157,75.157,28.042
0.075394,75.394,31.278,0.075394,75.394,5.3988,0.075394,75.394,49.512
0.07563,75.63,30.058,0.07563,75.63,4.2119,0.07563,75.63,48.269
0.075866,75.866,16.006,0.075866,75.866,3.9191,0.075866,75.866,24.522
0.076103,76.103,21.554,0.076103,76.103,4.9254,0.076103,76.103,33.271
0.076339,76.339,18.817,0.076339,76.339,5.0941,0.076339,76.339,28.485
